std_date,std_desc,std_amt
2025-01-01,Slack Expense,-580.21
2025-01-03,Uber Expense,-523.48
2025-01-05,Uber Expense,-696.63
2025-01-05,Slack Expense,-743.2
2025-01-06,Uber Expense,-680.38
2025-01-06,WeWork Expense,-791.47
2025-01-08,Delta Airlines Expense,-363.53
2025-01-08,Uber Expense,-457.36
2025-01-09,WeWork Expense,-762.88
2025-01-10,Client Invoice #1001 (Stripe),1250.0
2025-01-12,Google Cloud Expense,-155.64
2025-01-15,Charlie Salary,-3800.0
2025-01-15,Bob Salary,-4200.0
2025-01-15,Alice Salary,-4500.0
2025-01-16,WeWork Expense,-613.43
2025-01-20,Uber Expense,-403.81
2025-01-20,Uber Expense,-324.43
2025-01-22,Slack Expense,-541.76
2025-01-25,Uber Expense,-116.36
2025-01-28,Payment to Contractor (Check #404),-1500.0
